url_length,dots,hyphens,at,question,percent,equal,domain_length,https,ip_address,login_word,bank_word,verify_word,secure_word,label
17,1,0,0,0,0,0,9,1,0,0,0,0,0,0
51,3,0,0,0,0,0,21,1,0,0,0,0,0,1
94,2,0,0,0,0,0,14,1,0,0,0,0,0,1
236,2,0,0,1,1,2,24,1,0,0,0,0,0,1
21,1,1,0,0,0,0,6,1,0,0,0,0,0,1
20,1,0,0,0,0,0,12,1,0,0,0,0,0,0
37,2,0,0,0,0,0,30,0,0,0,0,0,0,1
17,1,0,0,0,0,0,9,1,0,0,0,0,0,0
16,1,0,0,0,0,0,8,1,0,0,0,0,0,0
34,2,0,0,0,0,0,25,1,0,0,0,0,0,1
43,2,0,0,0,0,0,15,1,0,0,0,0,0,1
22,1,0,0,0,0,0,14,1,0,0,0,0,0,0
21,1,0,0,0,0,0,13,1,0,0,0,0,0,0
23,1,0,0,0,0,0,15,1,0,0,0,0,0,0
174,2,3,0,1,0,3,15,1,0,0,0,0,0,1
22,2,0,0,0,0,0,14,1,0,0,0,0,0,0
26,2,0,0,0,0,0,17,1,0,0,0,0,0,1
25,1,0,0,0,0,0,17,1,0,0,0,0,0,0
18,1,0,0,0,0,0,10,1,0,0,0,0,0,0
23,1,1,0,0,0,0,15,1,0,0,0,0,0,0
22,1,0,0,0,0,0,14,1,0,0,0,0,0,0
35,2,1,0,0,0,0,19,1,0,0,0,0,0,1
44,2,2,0,0,0,0,35,1,0,0,0,0,0,1
23,1,2,0,0,0,0,15,1,0,0,0,0,0,0
22,1,0,0,0,0,0,7,1,0,0,0,0,0,1
20,1,0,0,0,0,0,12,1,0,0,0,0,0,0
67,1,0,0,0,0,0,7,1,0,0,0,0,0,1
16,1,0,0,0,0,0,8,1,0,0,0,0,0,0
22,1,0,0,0,0,0,14,1,0,0,0,0,0,0
22,1,0,0,0,0,0,14,1,0,0,0,0,0,0
36,2,0,0,0,0,0,27,1,0,0,0,0,0,1
103,2,0,0,1,0,1,15,1,0,0,0,0,0,1
21,1,1,0,0,0,0,6,1,0,0,0,0,0,1
34,2,0,0,0,0,0,25,1,0,0,0,0,0,1
24,1,1,0,0,0,0,16,1,0,0,0,0,0,0
29,2,0,0,0,0,0,20,1,0,0,0,0,0,1
20,1,0,0,0,0,0,12,1,0,0,0,0,0,0
23,1,0,0,0,0,0,4,1,0,0,0,0,0,1
31,2,1,0,0,0,0,16,0,0,0,0,0,0,1
25,1,0,0,0,0,0,17,1,0,0,0,0,0,0
25,1,0,0,0,0,0,17,1,0,0,0,0,0,0
22,1,0,0,0,0,0,7,1,0,0,0,0,0,1
20,1,0,0,0,0,0,12,1,0,0,0,0,0,0
53,2,1,0,0,0,0,27,1,0,1,0,0,0,1
18,1,0,0,0,0,0,10,1,0,0,0,0,0,0
23,2,0,0,0,0,0,8,1,0,0,0,0,0,1
175,2,1,0,1,0,3,15,1,0,0,0,0,0,1
51,2,0,0,0,0,0,22,1,0,1,0,0,0,1
30,2,0,0,0,0,0,21,1,0,0,0,0,0,1
167,2,2,0,1,0,3,15,1,0,0,0,0,0,1
43,2,2,0,0,0,0,36,0,0,0,0,0,0,1
