2026-03-30 11:46:52.460846 | googllle.com | ⚠️ Phishing Website | 66.0%
2026-03-30 11:47:00.323362 | google.com | ⚠️ Phishing Website | 66.0%
2026-03-30 11:47:04.992222 | https://google.com | ✅ Legitimate Website | 100.0%
2026-03-30 11:47:12.629589 | http://account-update-verification-portal-paypal.security-check.xyz/login | ⚠️ Phishing Website | 100.0%
2026-03-30 11:47:18.645797 | https://googllle.com | ✅ Legitimate Website | 99.79%
2026-03-30 11:47:26.877842 | https://begum.com | ✅ Legitimate Website | 99.84%
2026-03-30 11:48:25.335965 | https://new.express.adobe.com/webpage/dAwm0QV6NWfEt | ⚠️ Phishing Website | 100.0%
2026-03-30 11:51:17.105687 | http://verify-bank-account.com | ⚠️ Phishing Website | 70.0%
2026-04-01 21:52:14.598443 | scholar.google.com | ⚠️ Phishing Website | 79.0%
2026-04-01 21:52:50.190204 | https://scholar.google.com | ✅ Legitimate Website | 99.0%
2026-04-01 21:54:13.947278 | https://account-update-verification-portal-paypal.security-check.xyz/login | ⚠️ Phishing Website | 100.0%
2026-04-03 20:45:58.602780 | https://google.com | ✅ Legitimate Website | 100.0%
2026-04-03 20:46:24.119921 | https://instagram.com | ✅ Legitimate Website | 100.0%
2026-04-08 13:40:24.749591 | https://google.com | ✅ Legitimate Website | 100.0%
2026-04-08 13:40:56.845758 | http://account-update-verification-portal-paypal.security-check.xyz/login | ⚠️ Phishing Website | 100.0%
2026-04-08 13:42:22.355516 | http://account-update-verification-portal-paypal.security-check.xyz/login | ⚠️ Phishing Website | 100.0%
2026-04-08 13:43:10.067426 | http://account-update-verification-portal-paypal.security-check.xyz/login | ⚠️ Phishing Website | 100.0%
2026-04-18 06:22:10.570398 | google.com | ⚠️ Phishing Website | 66.0%
2026-04-18 06:22:33.057833 | chrome | ⚠️ Phishing Website | 66.0%
2026-04-18 06:23:09.691429 | google.com | ⚠️ Phishing Website | 66.0%
2026-04-18 06:23:21.958939 | https://google.com | ✅ Legitimate Website | 100.0%
2026-04-18 11:33:25.970432 | http://account-update-verification-portal-paypal.security-check.xyz/login | ⚠️ Phishing Website | 100.0%
2026-04-18 11:54:58.473712 | https://ipfs.io/ipfs/QmP3K7FaxumADtuDaSNmpARZn9gDBR9C7zU6nPAPxKrkiF,1 | ⚠️ Phishing Website | 100.0%
2026-04-18 11:57:13.255400 | https://www.sbi.in | ✅ Legitimate Website | 100.0%
2026-04-18 12:02:36.923348 | https://www.sbi.in | ✅ Legitimate Website | 100.0%
2026-04-18 12:03:27.775687 | https://www.sbi.online.in | ⚠️ Phishing Website | 65.92%
2026-04-18 12:04:20.866183 | https://www.sbi.online.in | ⚠️ Phishing Website | 72.6%
2026-05-07 20:25:28.789629 | https://google.com | ✅ Legitimate Website | 100.0%
